Frame Number,BOOSTING: not overlapped: 15; failed: 0,CSRT: not overlapped: 12; failed: 1,KCF: not overlapped: 11; failed: 2,MEDIANFLOW: not overlapped: 4; failed: 62,MIL: not overlapped: 11; failed: 0,MOSSE: not overlapped: 16; failed: 29,TLD: not overlapped: 50; failed: 19
1,15.13274595,16.1245155,13.34166406,19.02629759,17.11724277,17.02938637,41.86884283
2,23.19482701,19.02629759,16.03121954,22.20360331,21.02379604,22.36067977,43.829214
3,18.24828759,10,7.211102551,12.16552506,16.2788206,17.11724277,48.02082881
4,28.28427125,13.15294644,9.848857802,20.88061302,17.11724277,22.56102835,51.4781507
5,23.34523506,19.41648784,11.40175425,1000,20.09975124,23.19482701,41.48493703
6,28.01785145,16.2788206,13.92838828,5.385164807,16.76305461,21.09502311,58.13776741
7,18,14.56021978,11.18033989,7.071067812,17.08800749,20.09975124,48.84669897
8,10.44030651,5.385164807,10.29563014,11.40175425,11.40175425,14.03566885,42.54409477
9,6.08276253,5.385164807,19.23538406,21.02379604,3.16227766,3.605551275,31.76476035
10,10.63014581,10.44030651,28.63564213,29,10.04987562,6.403124237,25.23885893
11,4.242640687,14.03566885,31.38470965,30.06659276,13.03840481,6.32455532,25
12,16.1245155,20.22374842,34.4818793,36.01388621,20.02498439,11.70469991,14
13,5.830951895,7.280109889,25.23885893,24.73863375,9.848857802,2,27.58622845
14,4.123105626,2,26.07680962,25.49509757,11.18033989,1.414213562,26.87005769
15,7.071067812,10.04987562,30.61045573,28.3019434,15.29705854,9.848857802,39.05124838
16,5.656854249,11.18033989,28.3019434,27.45906044,14.31782106,10.29563014,41.10960958
17,1,9.055385138,30,29.15475947,15.23154621,10.04987562,56.72741841
18,4.472135955,10.77032961,36.23534186,36.7151195,26.41968963,17.02938637,31.76476035
19,7,10.44030651,36.76955262,34.43835072,23.02172887,19.41648784,30
20,3.605551275,11.18033989,33.01514804,33.52610923,20.61552813,20.61552813,46.40043103
21,33.83784863,24.16609195,45.27692569,41.76122604,30,32.75667871,40.24922359
22,35.51056181,24.41311123,44.40720662,40.85339643,32.80243893,32.57299495,38.07886553
23,27.07397274,27.85677655,45.09988914,48.70318265,35.17101079,43.38202393,62.96824597
24,37.10795063,32.55764119,51.2445119,49.64876635,38.01315562,47.29693436,13.34166406
25,38.01315562,41.23105626,52.15361924,52.20153254,41,52,16.97056275
26,40.49691346,36,51.97114584,44.40720662,43,49.81967483,7.071067812
27,54.14794548,49.81967483,68.00735254,60.87692502,59.53990259,67.44627492,18.02775638
28,48.83646179,41.59326869,61.40032573,52.95280918,52.08646657,60.41522987,56.22277119
29,60.41522987,59.00847397,75.66372975,65.37583651,65.00769185,72.83543094,56.92099788
30,62.09669879,58.03447251,76.29547824,65.12296062,67.00746227,73.43704787,55.02726597
31,56.88585061,47.09564736,70.57619995,61,63.03173804,70.40596566,58.46366393
32,60.01666435,53.03772242,70.85901495,60.8276253,62.07253821,71.19691005,57.72347876
33,53.60037313,47.16990566,65.62011887,56.5154846,58.30951895,67.68308504,61.66036004
34,69.63476143,64,78.44743463,69.46221995,73.00684899,80.62257748,59.61543424
35,75.31268154,68.02940541,87.29833904,76.4198927,80.00624976,32.01562119,63.5295207
36,78.08969202,71.0070419,1,79.51100553,5,35.05709629,65.8634952
37,74.63243263,66.75327707,10.81665383,72.00694411,6.32455532,29.12043956,53.33854141
38,79.30952024,72.277244,16.2788206,74.67261881,15.03329638,34.4818793,46.40043103
39,69.3181073,62.64183905,23.02172887,64.77653896,18.35755975,26.17250466,41.59326869
40,73.79024326,67.44627492,19.6977156,70.03570518,15.13274595,29.83286778,42.72001873
